text,Congestion,Customer_interface,Delay,Miscellaneous,Not_applicable,Personnel_attitude,Physical_accessibility,Pricing,Refusal_cancellation_refund,Safety,Unavailability_inadequacy,Vehicle_utility_condition
@USER In Bangalore auto guys have such mentality. Even bmtc buses. They straightly tell y ur in Bangalore go to your state if u can't speak local languages . They literally force to speak . Speaking Hindi in Bangalore it's like doing big crime it's mentality harrasment.,0,0,0,0,0,1,0,0,0,0,0,0
@USER 139 is not working. Train number 16590 hubli to bangalore rani chenamma s1 bogue group of students are playing and creating lot of disturbance kindly help,0,0,0,1,0,0,0,0,0,0,0,0
"Today i got bad behaviour from conductor, they told abusing language, most of Bangalore bus conductors are very rudely, kindly take a action.@USER @USER @USER @USER @USER HTTPURL",0,0,0,0,0,1,0,0,0,0,0,0
"#Rapido I booked a rapido service in Bangalore very recently after reached my destination he said, ""y u are booking from this place, it took me so much time to reach"" in rude voice. He wanted me to paid in advance and i asked him why and he said, this is his first ride so he need",0,0,0,0,0,1,0,1,0,0,0,0
@USER @USER @USER Bangalore is becoming worst only Beacuse of bjp Government..... Last week auto driver threw the mobile and helmet of a rapido driver,0,0,0,1,0,0,0,0,0,0,0,0
@USER @USER why I need to pay for toll from travelling to Bangalore airport to my drop location,0,0,0,0,0,0,0,1,0,0,0,0
@USER Saudia service during hajj was haphazard. My family and I had paid for direct flight from Jeddah to Bangalore. But Saudia staff forced us to board a layover flight. It's been more than a year and still waiting for my refund mom's and brother's ticket refund,0,0,0,0,0,0,0,0,1,0,0,0
"@USER @USER @USER I travelled on Bangalore hassan few days back. Paid 200rs toll on car. Now that shiradi ghat repair is going on, they will add toll there as well, which will make the toll cross 400Rs. It is half of the bus fare. What is this nonsense? This toll is nt ther even on big US highwys.",0,0,0,0,0,0,0,1,0,0,0,0
"@USER @USER @USER Even bicycle manufacturing can support millions of jobs. The point being, cars are taking too much space in a city like Bangalore, being parked on the roads causing safety hazards and blockage of traffic. Enforcement today is negligible.",1,0,0,1,0,0,0,0,0,1,0,0
Since when #ubergo is not providing ac to it’s customers in Bangalore??? #uber #uberindia,0,0,0,0,0,0,0,0,0,0,0,1
"This is ridiculous ! Bangalore Mysore Expressway charges toll on buses, KSRTC buses passing on the toll charge to public ! BJP knows only to loot public. Do we need such a looting party to come again in Karnataka. Throw them out. HTTPURL",0,0,0,0,0,0,0,1,0,0,0,0
@USER sir pls also look at improving IRCTC website - there are bugs implanted intentionally to help agents - also a train from Bangalore to Kashmir (once a week )can help boost revenue both to railways and kashmir,0,1,0,0,0,0,0,0,0,0,1,0
@USER driver dont switch on ac for any trip in Bangalore .They say for uber go ac is not included. Raised this to uber multiple times. No actions taken. My ratings are going down because i ask for AC😅 Do you have control on your business ? Looking for solution.,0,0,0,0,0,0,0,0,0,0,0,1
