text,sentiment
"Beliaghata traffic Kolkata Police surgeon Sd/- SUVRO KANTI BANERJEE, you guys should stop harassing public. my car was 62.2 km/hr whereas your speed limit is 60km/hr and it considered 1k spot fine, just stop begging in official dress #KolkataTrafficPolice #Kolkatatrafficupdate",1
Change is coming Vocal 4 Local . Car and mobiles …many are make in India now visible in Kolkata.. good initiative by our Prime Minister Modi ji @USER @USER @USER HTTPURL,2
"Gems on display at the tram parade today. Kolkata’s trams are a hundred and fifty years old. To celebrate the momentous occasion, a tram parade with some of the heritage tram cars on display. 
#heritage #kolkata #tram #tramways #tramcar #kolkatatram #kolkatatrams #tramlove HTTPURL",0
"@USER Day will come soon when ppl gonna same with kolkata traffic police also. Like If they see ur car or bike registered from diffrent state, they gonna charge u for anything anywhr. Got into this situation where they chrged me rs 6000 without a",1
"""THIS CAR RESPECTS WOMEN-2023"" - Organized by Park Circus Traffic Guard under #Nirbhaya project. Thank you @USER , @USER &amp; all my ড্রাইভার দাদা for making #kolkata safe. #Nirbhaya #KolkataPolice #KolkataTrafficPolice #womensafety #EmbraceEquity HTTPURL",2
@USER No. Not it is resolved. I have applied to PVD Kolkata RTO for deregistration of the car but RTO asked to produce the car for inspection. Letter attached. You are requested to coordinate with RTO for deregistration the car. HTTPURL,0
#Kolkata: A state government vehicle crashed into a median divider at #SaltLake CK Block and climbed upon an island on Sunday night. Police said the car had none other than the driver who came out of the car and had fled the spot leaving the car on the island. HTTPURL,1
"@USER Bought a new Kia Seltos HTK Plus on February 25, 2023 from Celica Motors (Kolkata), the car had Self-Start issue on day of delivery itself, delivery was postponed by few hours , car taken to workshop but issue remains, presently car not starting ",1
"@USER @USER @USER I urge you to verify their Trade Licence &amp; Foo licence immediately. This is a 420 with people who loss trust in this city.The food car is located at Kustia,next Iland apartment Kustia telephone exchange (Under Til",1
@USER @USER @USER This is a serious complaint against a food car dealing with fish &amp; chicken fry. The quality of fish fry was rotten and used some 3rd grade fish. Upon complaints they demand that they use 'Sea Basa'. This is cheati,1
"@USER @USER @USER @USER The worst after sale service I have ever experienced.
In a metro like Kolkata the authorised service centres have no laptop to find out the problem in car and no parts available.
 small sensor costi",1
"We booked a car in kolkata for a day and updated the check list they ask for on the app, i drove the car for 69 kms before dropping off at the given time. I got 7 ltrs fuel filled for driving mere 69 kms where as car odometer was showing fuel efficiency of 14.2 km/ltr.",0
The is very disheartening to say that this online cases has created traffic police sorry traffic mafia in kolkata. I passed the signal the police naka checking stopped my car and asked me to blow and after that asked for my license when they saw everything is right,0
"Hey @USER my past 2 experience have been terrible wid @USER
On a trip i took on 8th, wrong car was provided &amp; fare was calculated incorrectly.
Right now, my filthy cab is without AC &amp; driver needs to be taught some basic manners
@USER",1
@USER My car Verna WB96S9594 is submitted for repair on 03.03.23 and still the work is not over. It’s in Kalikapur workshop at Kolkata. I am facing very much difficulties without car and paying Rs 2000 daily to vendor for rented car. Who will pa,1
"@USER had some issues.Called Mahindra North Point,Kolkata and they asked 2 bring the car 4 repair.When I reached next day, their excuse was,they don't have a working laptop since 2 months.Imagine how ridiculous this is.What a waste of time. @USER",1
"@USER @USER May be Kolkata is the only city in India where Uber drivers calls the customer before he starts and refuses to go if the destination won't give him desired profit. Also, the car they use are the worst compared to other city. No quality",1
"@USER @USER @USER Kushan, we also need seat belt cutters. Here in Kolkata, many car drivers have drowned because they could not release their seat belt after their car fell into a canal/ nullah/ pond.",1
A prominent @USER MLA regularly parks his car in a no parking street next to a prominent school in Kolkata; the only car parked there with no action by @USER Even it rides in a one-way street. So sad! @USER @USER @USER #vipculture HTTPURL,1
"Beliaghata traffic Kolkata Police surgeon Sd/- SUVRO KANTI BANERJEE, you guys should stop harassing public. my car was 62.2 km/hr whereas your speed limit is 60km/hr and it considered 1k spot fine, just stop begging in official dress #KolkataTrafficPolice #Kolkatatrafficupdate",1
@USER @USER @USER @USER @USER Even yellow taxi drivers I had very bad experience Kolkata travel experience as a alone female traveller is not very friendly ☹️,1
"@USER @USER @USER @USER @USER Uber has the worst service in Kolkata. No separate fleets for premium/Go. The same set of cars run for all.They dont put on AC. If u have luggage they will not help u. Premium just charges u more, ",1
Prebooked an @USER to travel to airport for early morning in Kolkata. Last three days showing driver has been assigned. 15 minutes before it showed reassigning driver. 10 minutes it said couldn’t find a driver. I could have lost my flight. This is gross negligence.,1
"@USER Any cab in Kolkata for that matter, No AC logic I’ll never understand 😭 Even Ola/Uber do that.",0
@USER is such a scam. Today I was traveling from Kolkata airport to my home and while booking the app showed that the total fare was 191 but at the end point it showed 225 even I had to pay 60 for the parking charges whereas pre-paid taxi charge 141.Do,1
"@USER @USER @USER @USER @USER It`s not only Uber, it's that entire cab driver community. Kolkata has worst cab service in entire country. In social media, there are countless complains. Companies take no action, they are here t",1
I have charged cancellation charges incorrectly because driver asked me to cancel the trip and they also refused to go in my drop location please refund my cancellation amount 😡 @USER @USER @USER @USER @USER @USER HTTPURL,1
"@USER @USER @USER @USER @USER You need to be wary of 3 factors if you are availing @USER services.
1. Only cash payments are acceptable.
2. Driver will only agree to come if it's his preferred drop location. You need to p",1
"@USER Reading a certain article will not serve my purpose.
@USER has extremely disappointing and irresponsible service in Kolkata. My trip has been cancelled more than 5 times since morning.
I feel @USER needs to look into this.",1
@USER @USER @USER @USER @USER @USER sir please make a proper bus stand at Pattamundai And please try to give Volvo to Kolkata from Pattamundai. There is no bus stand at Pattamundai block. So please consider Pattam,0
@USER That a great opportunity to grab business with 50 60 seaters planes from Vadodara to Jaipur Goa Pune Chennai Kolkata Indore kochi Varanasi Lucknow all this route without any compitition,0
"Trams run on Solar Power in @USER , on Hydrogen power in @USER , on Wind power in Amsterdam.
Hydrogen trams also purify 107.6 kg air/hour. And our @USER @USER doesn't want trams on the road of @USER . They love Auto for vote bank, E bus for money. HTTPURL",0
@USER @USER Guys booking and getting a vehicle is now a pathetic process. In Kolkata due to the arrogance of the drivers they keep on refusing the rides. Always go for strike etc. never seen in any other cities. Wind up the business or crack down,1
"JUNK Car Norm Hits Bus operations, Scrap auto lobby favouring rules

Kolkata minibus routes on the verge of becoming extinct | Kolkata News - Times of India HTTPURL

Junk car norms hit Bus operations
Feb 1 2023 @USER @USER @USER @USER",0
Traveling on bus in the roads of KOLKATA is a curse!! I repeat.....,1
"@USER 
Let's see the SBSTC Bus condition in Kolkata. No window and all broken seats. No passenger safety and no passenger comfort but full fare. Bus HTTPURL WB39A3259
#sbstc HTTPURL",1
"West Bengal is the throbbing nerve centre of culture cuisine and art. From the city of joy, Kolkata to the queen of the hills, Darjeeling it has all. Sit back in the lap of luxury as Volvo Buses take you on a journey through this endearing landscape. #VolvoBusesIndia HTTPURL",2
@USER @USER @USER @USER sir please do something. Sir I booked my bus ticket from Kolkata to Pattamundai on 21st March. If they are not withdraw the strike then we r facing bad problem. Sir do something.,1
@USER @USER I book a ticket from Cuttack to Kolkata on 12th March 2023. Details is attached. But the bus conductor didn't allow me to board the bus as the seat no 20 was already occupied. I had to come by train in General coach. So need th,1
"@USER Today morning, just 2 days before journey, I was called and informed by Greenline bus service (ph. no. 062914 23548) that instead of boarding from Baguiati, I've to travel 4kms in early morning to Ultadanga to board the Kolkata-Digha bus.",0
"The glory of Kolkata's buses spans way over 100 years now. It's a bit surprising to see Mumbai take the credit of India's first service, whereas the first bus service started operating in Calcutta from 1918, 8 years b4 Bombay had its own bus.
Here's a report from @USER HTTPURL",2
"From a substitute for tram to 'most-preferred mode', motorised bus rolls past 100 years in Kolkata HTTPURL",0
"@USER @USER @USER &amp; @USER Sir/Madam! Please kindly watch this video about Double-decker Electric Bus in Mumbai &amp; take similar initiative for people of Kolkata, for checking air &amp; noise pollution &amp; traffic jams. Link",0
@USER This man lives in his own imaginary world. Public transport specially crowded buses or shared auto’s are quite a trouble for girls in Kolkata.,1
"@USER WBTC

Bus Service
WBTC serves commuters in a posse of ever increasing number of buses by the day in West Bengal and Kolkata city. The complexity of the bus route network,is unparallel as it connects different parts of the state through ro",0
"@USER Why is the need to name Bariya bus stand as New Patliputra Bus Stand in Patna, when google map shows it Patliputra Bus stand as Patliputra golambar bus stop, 25 Km away. I missed my bus for Kolkata due to this misconception. Can you please lo",1
"Falling down from bus while trying to deboard can not be seen in any other other cities except in few cities in India like Kolkata where buses, whether run by government or private ones, are in such hurry that they mostly do not stop fully while passenger get down. Shameful!",1
"Riding a bus in Kolkata is nothing less than a roller coaster ride. 🙂

#MorningTime
#Kolkata 
#collegelife",0
